Company_ID,Attribute,Attribute_Value,Current_Name,Former_Name,active/inactive
1,Company,"Shanghai Lanjing Biotechnology Co., Ltd(2012)",,,
2,Company,"Iamcor Biotech Co., Ltd.(2013)",,,
3,Company,"Hebei Milin Biotechnology Co., Ltd",,,
4,Company,"Wuhan Yuancheng Gongchuang Tech Co.,Ltd.",,,
5,Company,"Hebei Naicang Trade Co., Ltd.(河北仓耐贸易有限公司)",Hebei Naicang Trade Co. Ltd.(河北凯友生物科技有限公司),Hebei Kaiyou Biological Technology Co. Ltd.(河北凯友生物科技有限公司),
6,Company,"Hunan Shaoyang Hongtai Manufacturing Chemical. Co., Ltd.",,,
7,Company,"Hebei ZhongDing Medical Research Ltd./Hebei ZhongDing Chemical Medicine Co,.Ltd.(2017)",,,
8,Company,"Guangzhou Liwin Electronic Technology Co., Ltd.(2003)",,,
9,Company,"Xingtai Senyang Chemicals Import and Export Co., Ltd.",,,
10,Company,"Shenzhen Simeiquan Biotechnology Co., Ltd.",,,active
11,Company,"Xi'an Qiao Qi Mei Industry and Trade Co., Ltd. (2016)",,,inactive
12,Company,"Hebei Kaishun biotechnology Co.,Ltd.(2014)",,,active
13,Company,Shijiazhuang Jubite Fine-chemical Material Co. Ltd.(2009),,,active
14,Company,"Wuhan Heisenberg Technology Co.,Ltd.(2012)",,,
15,Company,"Guangzhou Honch Chemical Technology Co., Ltd.",,,
16,Company,Chengdu Yancey Company,,,
17,Company,"Nanjing Zhongcheng Industry Co., Ltd.",,,
18,Company,"Qingdao Happy Biological Technology Co., Ltd.(2015)",,,
19,Company,"Hebei Ao Xuan Import and Export Trade Co., Ltd.(2015)",,,
20,Company,"Hangzhou Xiangshengjie Import & Export Co.,Ltd.(revoked)",,,
21,Company,"YaFeng Biological Technology Co., Ltd.(2010)",,,
22,Company,"Shijiazhuang Zulei Commerce Co.,Ltd./Shijiazhuang Zu Lei Trading Co., Ltd.(2005) ",,,active
23,Company,"Hebei Jiangkai Trading Co., Ltd./Hebei Jiangkai Import and Export Trade Co.,Ltd.",,,not sure
24,Company,"Hebei Benteng Biotechnology Co., Ltd.(2016) , current name：Hebei Wanlun Import& Export Trading Co., Ltd.",,,active
25,Company,"Overcomer Research Chemicals Co., Ltd.(2014)",,,not active
26,Company,"Dongmao Biotechnology Co., Ltd.(2013)",,,not active
27,Company,"Hebei Ruishun Trade Co., Ltd.(1998)",,,active
28,Company,"Hebei Yaqiang Biological Technology Co., Ltd.(2016)",,,active
29,Company,"Hubei XinRunde Chemical Co., Ltd.(2011)",,,active
30,Company,"China JinNuoDa Biological Technology Co.,Ltd./ China JinNuoDa Medicine Co.,Ltd.","Jin Nuo Da Medicine Co.,Ltd",,active
31,Company,Shanghai Hongrun Chemistry Lab.,,,not sure
32,Company,"Urumqi Huilitongda Electrical and Mechanical Products Co., Ltd(2013)",,,not sure
33,Company,"Chiyang Biological Technology Co., Ltd.(2015)","Hebei Chuncheng Biological Technology Co,. LTD",,active
34,Company,"Zhuozhou Sandi Chemical Co., Ltd.(2002)",,,active
35,Company,"PEAK-BIO Co., Ltd.(2017)",,,active
36,Company,"Hubei Aosina Chem-tech Co.,Ltd.",,,active
37,Company,"Shijiazhuang Aolo Trade Co.,Ltd.(2007)",,,active
38,Company,"Wuhan Tuoke Biotechnology Co.,Ltd.",,,active
39,Company,"Hangzhou Fuluo Biological Technology Co.,Ltd.(2015)",,,active
40,Company,"Shanghai Rechemscience Co., Ltd.",,,active
42,Company,"China Bailingwei Co.,Ltd.(2010)","Beijing Bailingwei Technology Co., Ltd.",,active
43,Company,Jinjinle Chem Co. ,,,active
44,Company,"Shaoyang Zhongbao Chemical Co., Ltd.(revoked)","Shaoyang Zhongbao Chemical Distribute Co., Ltd.","Shaoyang Zhongbao Chemical Co., Ltd.",not active
45,Company,"Wuhan Saith Chemical Co., Ltd.(2011)","Wuhan Saith Chemical Co., Ltd.","Wuhan Saith Chemical Co., Ltd.",not sure
46,Company,Xiyuan-bio,"Shanghai Xiyuan Biotechnology Co., Ltd.",Xiyuan-bio,active
47,Company,"Sinoway Industrial Co., Ltd.","Sinoway Industrial Co., Ltd.","Sinoway Industrial Co., Ltd.",active
48,Company,Wuhan Xin Wei Ye Chemical Co. Ltd.,"Wuhan Newgreat Chemical Co., Ltd",Wuhan Xin Wei Ye Chemical Co. Ltd.,active
49,Company,"Hangzhou J&H Chemical Co., Ltd.","Hangzhou J&H Chemical Co., Ltd.","Hangzhou J&H Chemical Co., Ltd.",active
50,Company,"Shanghai Honsun Biological Technology Co., Ltd.(2015)","Shanghai Honsun Biological Technology Co., Ltd.(2015)","Shanghai Honsun Biological Technology Co., Ltd.(2015)",active
51,Company,Hebei Huiduo Chemical Material Company Limited,Hebei Huiduo Chemical Material Company Limited,Hebei Huiduo Chemical Material Company Limited,not active
52,Company,"Sichuan Sikewei Import & Export Trade Co., Ltd./Sichuan Tuskwei Import and Export Trade Co., Ltd.  (revoked)","Sichuan Sikewei Import & Export Trade Co., Ltd./Sichuan Tuskwei Import and Export Trade Co., Ltd.  (revoked)","Sichuan Sikewei Import & Export Trade Co., Ltd./Sichuan Tuskwei Import and Export Trade Co., Ltd.  (revoked)",active
53,Company,"Shanghai Hongtao Chemical Co., Ltd.","Shanghai Hongtao Chemical Co., Ltd.","Shanghai Hongtao Chemical Co., Ltd.",not active
54,Company,"Shanghai Jianglai Biotechnology Co., Ltd.(2011)","Shanghai Jinlai Biotechnology Co., Ltd.","Shanghai Jianglai Biotechnology Co., Ltd.(2011)",active
55,Company,"Wuhan Fantaike pharmaceutical Technology Co., Ltd.","Wuhan Fantaike pharmaceutical Technology Co., Ltd.","Wuhan Fantaike pharmaceutical Technology Co., Ltd.",not active
56,Company,"Henan Bizhi Chemical Tech Co., Ltd./ Henan Coreychem Co., Ltd.",MOLBASE,"Henan Bizhi Chemical Tech Co., Ltd./ Henan Coreychem Co., Ltd.",active
57,Company,"Sino Standards Chem. Drug. Co., Ltd.(2012)","ChengDu SinoStandards Bio-Tech Co.,Ltd","Sino Standards Chem. Drug. Co., Ltd.(2012)",active
58,Company,"Shanghai Zerun Biotechnology Co., Ltd.(2003)(revoked)","Shanghai Zerun Biotechnology Co., Ltd.(2003)(revoked)","Shanghai Zerun Biotechnology Co., Ltd.(2003)(revoked)",active
59,Company,"Dajin Chemical Trade Co., Limited","Dajin Chemical Trade Co., Limited","Dajin Chemical Trade Co., Limited",active
60,Company,HeBei MoSu Trade Co.Ltd.,HeBei MoSu Trade Co.Ltd.,HeBei MoSu Trade Co.Ltd.,active
61,Company,"Neimenggu Luchi Biotechnology Co.,Ltd.","Neimenggu Luchi Biotechnology Co.,Ltd.","Neimenggu Luchi Biotechnology Co.,Ltd.",active
62,Company,Aikon International Limited,Aikon International Limited,Aikon International Limited,active
63,Company,"Hebei Huanhao Biotechnology Co.,Ltd.","Hebei Huanhao Biotechnology Co.,Ltd.","Hebei Huanhao Biotechnology Co.,Ltd.",active
64,Company,"Hebei Chenxu Biotechnology Co., Ltd.","Hebei Chenxu Biotechnology Co., Ltd.","Hebei Chenxu Biotechnology Co., Ltd.",active
65,Company,"Hebei Neng Yue Import & Export Trade Co.,Ltd.","Hebei Nengyue Import and Export Trading Co., Ltd.","Hebei Neng Yue Import & Export Trade Co.,Ltd.",active
66,Company,"Hebei Hongyuan Kang Import and Export Trade Co., Ltd.","Hebei Hongyuan Kang Import and Export Trade Co., Ltd.","Hebei Hongyuan Kangjin Import and Export Trade Co., Ltd.",active
67,Company,"Hunan Shaoyang Tiantang Additives Chemical. Co., Ltd. ",,,Inactive
68,Company,"Jinan haohua Industry Co., Ltd.(cancelled)",,,active
69,Company,YiPeng Chemical(cancelled),,,Inactive
70,Company,"Shijiazhuang Hongrun Chemical Co., Ltd.",,,active
71,Company,"Royi Chemical Co., Ltd.","Royi Chemical Co., Ltd.","Guangdong Nuoyi Chemical Co., Ltd",inactive
72,Company,Beijing Nuoxuan Kangle Biological Science and Technology Co.ltd.,,,active
73,Company,"Huayi Chemical (Import & Export) Tradeing Co., Limited  ( Dissolved by Striking Off)",,,inactive
74,Company,"Tengyuan Biological Technology Co.,Ltd.",,,inactive
75,Company,"Dalian Pinmai Biotechnology Co., Ltd.(cancelled)",,,can't decide
76,Company,"HuiDa Biological Technology Co., Limited",,,Inactive
77,Company,Beijing HuameiHuli Biochem Ltd.(cancelled),,,Inactive
78,Company,Qingdao Taijiakangmei Trading Co.Ltd.,,,Inactive
79,Company,"Zibo Ourui Chemical Co.,Ltd.",,,
80,Company,"Zibo Hangyu Import&Export Co., Ltd.",,,Active
81,Company,"Jilin Tely IMP & EXP Co., Ltd.",,,Inactive
82,Company,"Hubei Jusheng Technology Co., Ltd.",,,Active
83,Company,"Hubei Geode Technology Co., Ltd.",,,Active
84,Company,Atomaxchem,,,Active
