Company_ID,Attribute,Attribute_Value,Change of Company,Active/Inactive,
1,Company,"RC-Chemical Co., Ltd.",,Active,
2,Company,"Tang Shen Biological Technology Co., Ltd.",,,
3,Company,"Zhongweiye Biological Technology Co., Ltd. (2010)",,,
4,Company,Ficher Chem Co. Ltd. (2012),,active,
5,Company,Xei megapharmaceutical Tech Ltd.(2012) (It shares the same email with Raw Chemical),,active ,
6,Company,Hiersun Biotech Company Ltd.(1997),,,
7,Company,"Wanke Biological Medicine export Co., Ltd. / WanKe Biological Medicine Co. Ltd. (2012)",,active,
8,Company,"Hubei Feels Bio-Chemical Technology Co.,Ltd.",,,
9,Company,"Shanghai Nobekon Biotechnology Co.,Ltd.",,inactive,
10,Company,"Meihua Biological Technology Co.,Ltd. (2010)",,,
11,Company,"Top Chems Co., Ltd.(2007)",,active ,
12,Company,"Wuhan Biofriend Technology Co.,Ltd. (it's a sub-company of Yuancheng and shares the same telephone number with Yuanchenggongchuang)",,,
13,Company,"Dongguan Songbai Chem. Co., Ltd.(2006)",,,
14,Company,"Shandong Ali-orgchemical & Pharmaceutical Co., Ltd.(2011)",,,
15,Company,"Lante Technology Co.,Ltd.(1997)",,inactive,
16,Company,"Fu Bai Na Pharmaceutical Chemical Reagent Co.,Ltd.(2012)",,active through 3rd party,
17,Company,"Rotta Medicine Co., Ltd.",,inactive,
18,Company,"BenTon Pharmacy Co., Ltd.(1997)",,inactive,
19,Company,Health222chem INC,,active through 3rd party,
20,Company,"Changzhou Rongchuang Biotechnology Co., Ltd.(2010)   ",,active through 3rd party,
21,Company,"Huanmei Biological Technology Co.,Ltd.(2008)",,active (Linkedln),
22,Company,"Wuhan Manley Biological Technology Co.,Ltd.(2008)/Wuhan Manely Biological Technology Co., Ltd. /Lorena Research Chemicals Co.",,active through 3rd party but no products displayed,
23,Company,"Hubei Jiuxin Technology Co., Ltd.","Hubei Jiubaohui Information Technology Co., Ltd.",active ,
24,Company,"JinZhongYan New Material Technology Co.,Ltd.(2010)",,active,
25,Company,"Shijiazhuang Huanying Chemical Trade Co., Ltd.",,active through 3rd party but no products displayed,
26,Company,"Dharma Chemicals Trading Co.,Ltd.",,inactive ,
27,Company,"Wuhan JXS BioChemical Technology Co., Ltd.",,inactive,
28,Company,Weishi Biotechnology Ltd.,,active ,
29,Company,"Hebei Lanyu Biotechnology Co., Ltd.(2015)(wound up)",,active ,
30,Company,"WuHan ZhiCheng Bio-Chemical Co., Ltd.(2002)",,active ,
31,Company,Pure Chems Ltd.(2009),,active ,
32,Company,"Raw Chems Co., Ltd.(2009)",,inactive,
33,Company,"Shanxi Pure Chemicals Co., Ltd.",,active ,
34,Company,"Koda Biological Medicine Co., Ltd.",,active ,
35,Company,"Shanghai Changhong Pharma Co.,Ltd.(1993)",,inactive,
36,Company,"China YSC Biotechnology Co.,Ltd./Yishichang Biotechnology Co.,Ltd.",,inactive,
37,Company,"Xuyang Biotechnology Co.,Ltd.",,active,
38,Company,"Qianqiu Biotechnology Co.,Ltd.",,inactive,
39,Company,"Topkey Pharmaceutical Research Chemical Co., Ltd./RCP Chemical International Co., Ltd.(2006)",,inactive ,
40,Company,"Hubei Kaiwodun Biochemical Co., Ltd.",,inactive,
41,Company,"Shanghai Jinzhengda Biological Technology Co., Ltd.",,inactive,
42,Company,"Hebei Wan Jiang Pharmaceutical Co., Ltd.",,active ,
43,Company,"Hefei Mengdite Chemical Co.,Ltd.",,active,
44,Company,"Shanghai Hongxiang Chem. Co., Ltd.",,active through 3rd party,
45,Company,Shanghai Xinheng Chem Co.(2006),,active,
46,Company,"Hunan Shaoyang Hongxiang Manufacturing Co., Ltd (2010) ",,active,
48,Company,"Shanghai StrawChem Co.,Ltd.(2007)",,inactive ,
49,Company,"New Luna Pharm Co.,Ltd. (China)",,active through 3rd party,
50,Company,"Xingtai Jinguangming Trading Co., Ltd./ Hong Kong ZD Chemical Lab(Same address)",,inactive,
51,Company,"China Zhongke Medical Science And Technology Co., Ltd.",,inactive ,
52,Company,"Wanke Bio-Tech Co., Ltd.(2016)","Wanke Biological Medicine Co., Ltd",inactive ,
53,Company,"Cremical Technology Co., Ltd.(2013)",,,
54,Company,"Guangzhou Xin Fu Chemical Co., Ltd."," Guangzhou Xinlongfu Chemical Technology Co., Ltd.",active,
55,company,"Beijing Shengbang Biomedical Technology Co., Ltd. (2009)",,not sure,
56,Company,"Xi'an Jbiotree Industrial Co.,Ltd",,Active,
57,Company,"Miaosi Pharm Industrial Co.,Ltd(2003)",,active ,
58,Company,"Hebei Wanjiang Pharmaceutical Co.,Ltd.",,Active,
59,Company,"Henan DaKen Chemical Co.,Ltd.(1983)",,Active,
60,Company,"Ying Kai Pharmaceutical Co., Ltd.",,,
61,Company,"Shandong Loyal Chemical industrial Co.,Ltd./Shangdong Loyal Chemical Technology Co.,Ltd.",,,
62,Company,"Hebei Luspharm Trading Co.,Ltd.(2015)",,,
63,Company,"China Zhongke Medical Science and Technology Co., Ltd.",,,
64,Company,"Jin Guangming Trading Co., Limited",,,
65,Company,Howingia Chemical Co.,,,
66,Company,"Ruida Biological Technology Co., Limited",,,
67,Company,"Shijiazhuang Jiufeng Biotechnology Co., Ltd.(2012)",,,
68,Company,"Wuhan KangMei Biotechnology Co., Ltd./Qingdao Taijiakangmei Trading Co., Ltd.",,,
69,Company,"HeBei ZhouCe Trading Co.,Ltd.(2016)",,,
70,Company,Shanghai Phoenix Chemicals Inc.,,,
71,Company,"Shanghai TpinChem Co.,Ltd(2006)",,,
72,Company,China Huasheng Internatiaonal Ltd.,,,
73,Company,"Foshan Liyuan Wanke Biological Co., Ltd.(2012)",,,
74,Company,"Shijiazhuang Shu Liang Trading Co., Ltd.",,,
75,Company,"
Zilan Chemical Co., Ltd.",,,
76,Company,"Dongrui Technology Co.,Ltd.",,,
77,Company,"Mokesi Technology Co.,Ltd.(2016)",,,
78,Company,Weishi Biotechnology Ltd.,,,
79,Company,"Dalian Lichuang Trade Co., Ltd.",,,
80,Company,"Tianjin Double International Trading Co., Ltd.",,,
81,Company,"Shanghai Shunbo Chem. Co., Ltd.",,,
82,Company,"Wuhan Weichuang Medical Technology Co.,Ltd.",,,
83,Company,"Laite-Bio Co., Ltd.",,,
84,Company,"China Taiyicheng Biological Technology Co., Ltd.",,,
85,Company,"Dongguan Xincheng Chemical Co., Ltd.",,,
86,Company,"Tianjin Add Import and Export Trade Co.,LTD",,,
87,Company,"Shenzheng Biological Technology Co.,Ltd.(2013)",,,
88,Company,"Jinzhongyuan Biotechnology Co.,Ltd.",,,
89,Company,"Tengyuan Biological Technology Co.,Ltd.",,,
90,Company,"KUNLUN INTERNATIONAL DEVELOPMENT CO., LTd",,,
91,Company,"Fanchuang Medical Biotechnology Co., Ltd.",,inactive,
92,Company,"Hongkong Saichuang Pharmaceutical Technology Co.,Ltd.",,inactive,
93,Company,"Wuhan Kezheng Medical Co.,Ltd.",,inactive,
95,Company,Hunan Xinshao Huilong Chem. Co.,,inactive,
96,Company,"Henan Tianfu Chemical Co., Ltd.",,active,
98,Company,"Hebei kefuson Co., Ltd.",,active,
99,Company,"Goldman Chemical Co.,Ltd.",,active,
100,Company,"Hebei Minshang Biotechnology Co., Ltd.",,inactive,
101,Company,"Xi‘An MaiKen Trading Co.,Ltd. (dissolved)",,,
102,Company,Hebei Yuanhua Biotechnology Co. Ltd.,,,
103,Company,"Shandong Yuechem Biochemical Co.,Ltd.",,,
104,Company,"
China Huasheng International Limited",,,
105,Company,"
Shanghai Danxi Biotechnology Co., Ltd.",,,
106,Company,"Baoheng Biochemical Co., Ltd.",,active,
107,Company,"
Shanghai Chendao Pharmaceutical Co., Ltd.",,inactive,
108,Company,"Houda Biotechnology Co.,Ltd.",,inactive,
109,Company,Grand Yokful Limited,Grand Yorkful Limited,Can't decide,
110,Company,"
Tonda Chem-tech Co., Ltd.",,inactive,
111,Company,"Huanying Fine Chemical Co,. Ltd.",,inactive,
112,Company,"Hebei Atun Trading Co., Ltd.",,inactive,
113,Company,"Qingdao Chuangnuo Medical Technology Co., Ltd.",,Can't decide,
114,Company,"Jilin Tiandicheng Biotech Co.,Ltd./Jilin Tiandicheng Imp &Exp Trading Co., Ltd.",,active ,
115,Company,"Zhao County Guang Rui Biological Products Co., Ltd.","Hebei ao xuan import and export trade co., LTD
",active,
116,Company,"Shandong Yanshuo Chemical Co., Ltd.","Shandong Quark Chemical Co., Ltd.(Branch)",inactive,
117,Company,Hangzhou Quanye Maoyi youxiangongsi,,Can't decide,
118,Company,"Hunan Longxianng Runhui Trading Co.,Ltd.",,active,
119,Company,"(EYECHEM) Xi’an QingShuo Import And Export Trade Co.,Ltd.",,inactive,
120,Company,"Changchun Tuocai Technology Co., Ltld.",,active,
121,Company,"Wuhan New-Rise Biochem Co,. Ltd.",,active,
122,Company,"Wuhan New-Rise Biochem Co,. Ltd.",,active,
123,Company,Chifeng Ruiyang Huaxue Shiji Youxian Gongsi,,active,
124,Company,"GZ Honch Chemical Technology Co.,Ltd.",,Cant Decide,
125,Company,biochem-lab.org,,           ,
126,Company,Shandong Xinheng Chemical Company,,Active,
127,Company,"Ningbo Beilun Shunbo Chemical Co.,Ltd",,Inactive,
128,Company,TREASURE RESEARCH STUFF,,Cant Decide,
129,Company,"Keda Biological Medicine Co., Ltd.",,Dissolved,
130,Company,"Guangxi Veryark Technology Co., Ltd.",,Inactive but changed number in 2020,
131,Company,Houtian pharmercy ind,,Inactive,
132,Company,Hong Kong GR Chemical Lab,,Cant decide ,
133,Company,Shanghai Hongrun Chemistry Lab.,,Inactive,
134,Company,HK ZD Chem Lab/HK Chem Lab,,Active,
135,Company,"Andson Biological Tech.Co.,Ltd.",,,
136,Company,"Handan Jiahua Chemical Co.,Ltd",,Cant Decide,
137,Company,"Wuhan Tuoke Biotechnology Co.,Ltd.",,Active,
138,Company,"Wnjigc Company Co.,Ltd.",,,
139,Company,Hebei Benteng Biotechnology Co. Ltd.,,,
140,Company,"China Biological Laboratory Technology Co.,Ltd.",,Active,
